Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2003061316,SBKG,131600Z,15010KT,9999,na,na,SCT025,BKN300,na,28/19,Q1014,NULL
2003061317,SBKG,131700Z,16010KT,9999,na,na,BKN023,BKN300,na,27/20,Q1013,NULL
2003061318,SBKG,131800Z,15010KT,9999,na,na,BKN020,na,na,27/19,Q1013,NULL
2003061319,SBKG,131900Z,12010KT,8000,na,na,SCT010,BKN015,na,25/20,Q1014,NULL
2003061320,SBKG,132000Z,12010KT,9999,na,na,FEW010,SCT015,BKN300,25/20,Q1014,NULL
2003061321,SBKG,132100Z,12007KT,9999,na,na,FEW010,SCT300,na,23/20,Q1015,NULL
2003061322,SBKG,132200Z,12008KT,9999,na,na,SCT017,SCT100,na,23/20,Q1016,NULL
2003061323,SBKG,132300Z,13006KT,9999,na,na,SCT017,SCT100,na,23/20,Q1016,NULL
2003061400,SBKG,140000Z,16008KT,9999,na,na,SCT017,BKN100,na,22/20,Q1017,NULL
2003061401,SBKG,140100Z,12006KT,9999,na,na,SCT017,SCT100,na,22/19,Q1017,NULL
2003061402,SBKG,140200Z,16006KT,9999,na,na,FEW017,BKN100,na,21/19,Q1017,NULL
2003061403,SBKG,140300Z,16006KT,9999,na,na,SCT017,BKN100,na,22/19,Q1016,NULL
2003061409,SBKG,140900Z,18003KT,9999,na,na,BKN015,BKN100,na,20/20,Q1016,NULL
2003061410,SBKG,141000Z,19001KT,9999,-RA,na,BKN020,BKN100,na,21/20,Q1017,NULL
2003061411,SBKG,141100Z,16008KT,9999,na,na,SCT017,BKN100,na,22/20,Q1018,NULL
2003061412,SBKG,141200Z,16010KT,9999,na,na,BKN018,SCT080,na,23/20,Q1017,NULL
2003061413,SBKG,141300Z,19010KT,9999,na,na,BKN018,na,na,25/20,Q1017,NULL
2003061414,SBKG,141400Z,15008KT,5000,-RA,na,BKN015,na,na,23/21,Q1017,NULL
2003061415,SBKG,141500Z,15010KT,9999,na,na,BKN015,na,na,25/19,Q1016,NULL
