Timestamp,Airport,Timezone,DirInten,Visibility,Weather0,Weather1,CG0,CG1,CG2,TTD,Pressure,ReraRets
2016061116,SBKG,111600Z,10009KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1018,na
2016061117,SBKG,111700Z,10006KT,na,olarrr,na,na,SCT040,na,na,29/17,Q1017,na
2016061118,SBKG,111800Z,09009KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1017,na
2016061119,SBKG,111900Z,10010KT,na,olarrr,na,na,FEW040,na,na,28/18,Q1017,na
2016061119,SBKG,111945Z,09011KT,na,olarrr,na,na,na,na,na,27/18,Q1017,na
2016061202,SBKG,120215Z,07006KT,na,olarrr,na,na,BKN006,na,na,21/20,Q1020,na
2016061203,SBKG,120300Z,10006KT,na,olarrr,na,na,BKN005,na,na,21/20,Q1020,na
2016061204,SBKG,120400Z,11003KT,na,olarrr,na,na,BKN005,na,na,21/20,Q1020,na
2016061205,SBKG,120500Z,13003KT,na,olarrr,na,na,FEW006,BKN008,na,21/20,Q1019,na
2016061206,SBKG,120600Z,13003KT,na,olarrr,na,na,BKN016,na,na,21/20,Q1019,na
2016061207,SBKG,120700Z,VRB01KT,na,olarrr,na,na,BKN018,na,na,21/20,Q1020,na
2016061208,SBKG,120800Z,VRB02KT,na,olarrr,na,na,FEW017,BKN080,na,20/19,Q1020,na
2016061209,SBKG,120900Z,15003KT,na,olarrr,na,na,SCT012,SCT015,na,21/20,Q1020,na
2016061210,SBKG,121000Z,14007KT,na,olarrr,na,na,SCT008,na,na,22/20,Q1021,na
2016061211,SBKG,121100Z,15008KT,na,olarrr,na,na,SCT016,na,na,22/20,Q1022,na
2016061212,SBKG,121200Z,14008KT,na,olarrr,na,na,FEW010,SCT015,na,24/19,Q1022,na
2016061213,SBKG,121300Z,15010KT,na,olarrr,na,na,BKN020,na,na,26/18,Q1022,na
2016061214,SBKG,121400Z,13010KT,na,olarrr,na,na,SCT030,na,na,27/17,Q1021,na
2016061215,SBKG,121500Z,13008KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1020,na
2016061216,SBKG,121600Z,09009KT,na,olarrr,na,na,SCT040,na,na,29/15,Q1019,na
2016061217,SBKG,121700Z,12011KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1019,na
2016061218,SBKG,121800Z,12011KT,na,olarrr,na,na,SCT040,na,na,28/18,Q1018,na
2016061219,SBKG,121900Z,11010KT,na,olarrr,na,na,na,na,na,28/16,Q1018,na
2016061219,SBKG,121945Z,10013KT,na,olarrr,na,na,na,na,na,26/19,Q1019,na
2016061302,SBKG,130215Z,11006KT,na,olarrr,na,na,na,na,na,20/18,Q1021,na
2016061303,SBKG,130300Z,08003KT,na,olarrr,na,na,na,na,na,20/18,Q1021,na
2016061304,SBKG,130400Z,12006KT,na,olarrr,na,na,na,na,na,20/18,Q1021,na
2016061305,SBKG,130500Z,07002KT,na,olarrr,na,na,FEW010,na,na,20/19,Q1021,na
2016061306,SBKG,130600Z,17003KT,na,olarrr,na,na,na,na,na,19/18,Q1021,na
2016061307,SBKG,130700Z,00000KT,na,olarrr,na,na,na,na,na,19/18,Q1021,na
2016061308,SBKG,130800Z,00000KT,na,olarrr,na,na,na,na,na,18/17,Q1021,na
2016061309,SBKG,130900Z,19003KT,na,olarrr,na,na,SCT018,na,na,19/18,Q1022,na
2016061310,SBKG,131000Z,15007KT,na,olarrr,na,na,FEW020,na,na,22/18,Q1022,na
2016061311,SBKG,131100Z,15009KT,na,olarrr,na,na,FEW020,na,na,23/18,Q1023,na
2016061312,SBKG,131200Z,15011KT,na,olarrr,na,na,SCT030,na,na,25/19,Q1023,na
2016061313,SBKG,131300Z,13012KT,na,olarrr,na,na,SCT030,na,na,25/17,Q1023,na
2016061314,SBKG,131400Z,13012KT,na,olarrr,na,na,SCT040,na,na,26/17,Q1022,na
2016061315,SBKG,131500Z,14013KT,na,olarrr,na,na,SCT043,na,na,27/16,Q1021,na
2016061316,SBKG,131600Z,11011KT,na,olarrr,na,na,na,na,na,28/15,Q1020,na
